,0
0,12.1547846143
1,11.6617850286
2,11.8844959179
3,11.8130374648
4,11.7400690056
5,12.0161281075
6,12.2307701362
7,11.4616426968
8,12.929993909
9,12.1547846143
10,12.6181856076
11,12.3925563618
12,12.0951466714
13,12.2085745132
14,12.3875605216
15,12.0494246834
16,11.9671870864
17,12.7248694151
18,12.3194057951
19,12.1062578351
20,12.4211880574
21,12.560247968
22,11.3266079349
23,11.7280449091
24,11.385103457
25,11.927687225
26,11.7117845204
27,12.3870891845
28,11.8056025416
29,11.3621142031
30,12.4780101705
31,11.7752974217
32,12.4280194811
33,11.5852554288
34,11.5987361214
35,11.877575523
36,11.9163952504
37,12.9367540217
38,11.8494048444
39,12.0725469672
40,11.9576176965
41,12.4665158351
42,11.9576176965
43,11.7924569111
44,12.1221528483
45,12.0429711935
46,12.1985494169
47,12.490879338
48,11.5702599744
49,11.7280449091
50,11.9640074537
51,12.0257550794
52,12.614868866
53,12.2302822146
54,12.3327097017
55,11.9243792716
56,11.1982284187
57,12.4529366297
58,12.5353799898
59,11.7943454715
60,12.0317252107
61,12.0782449558
62,12.1034915969
63,11.877575523
64,12.0494246834
65,11.8130374648
66,12.2060776455
67,12.4509816025
68,11.652696103
69,11.6262630788
70,12.424810506
71,11.8981946685
72,11.5327378961
73,11.2772157896
74,11.5805934592
75,12.0197490914
76,12.5741854273
77,12.1308155519
78,12.2737359669
79,12.0776766158
80,12.524530013
81,11.995357787
82,11.5735594985
83,12.4292201968
84,12.0106719282
85,11.8494048444
86,12.2899587272
87,11.411457364
88,11.8458270487
89,12.1547846143
90,12.5881940642
91,12.1267642515
92,11.9829353442
93,12.0610526538
94,12.5425484536
95,10.5427327759
96,11.8844959179
97,12.1442025609
98,13.1260326374
99,12.8871295321
100,13.2295697883
101,12.5567330383
102,11.6868871754
103,12.0538010325
104,11.8844959179
105,12.2307701362
106,12.0610526538
107,12.4292201968
108,11.7117845204
109,12.3458389357
110,11.3266079349
111,12.0271911649
112,12.6729495166
113,11.7636919654
114,11.9049743095
115,11.6307173895
116,12.1281165095
117,12.1226964714
118,12.2193145828
119,11.6351519472
120,12.1659847565
121,11.0021165077
122,11.8844959179
123,12.0173365596
124,11.6994133306
125,11.4563656954
126,11.7752974217
127,11.798111926
128,11.89136875
129,12.6915835382
130,11.8310227689
131,11.3445186476
132,11.8313864688
133,12.0895444472
134,12.1007176854
135,11.9829353442
136,11.8494048444
137,11.8089550994
138,11.9183972397
139,11.9447143749
140,11.7675754353
141,12.7599606323
142,12.3104371653
143,12.6757668519
144,11.5307752062
145,12.3458389357
146,11.9083469712
147,11.5129354649
148,11.877575523
149,12.0257550794
150,11.6885664228
151,11.7440451224
152,11.8981946685
153,11.9511868475
154,12.6760793998
155,11.6262630788
156,11.6082447356
157,11.7597933554
158,11.9766657705
159,12.0839106613
160,11.9183972397
161,11.5945146685
162,12.2760696793
163,12.2307701362
164,12.359527369
165,11.7280449091
166,11.8758379152
167,12.7218887959
168,11.6699377608
169,11.3736748918
170,11.9829353442
171,12.2060776455
172,12.2060776455
173,12.2404789032
174,11.8508323862
175,12.3673450484
176,11.5129354649
177,11.652696103
178,11.7558794867
179,11.7454330367
180,12.5675545177
181,11.6127798497
182,12.0809968321
183,11.9511868475
184,11.8844959179
185,12.1062578351
186,11.9984394346
187,12.5135610217
188,12.4292201968
189,11.7076777722
190,11.5079229733
191,12.037659911
192,11.652696103
193,12.0810818211
194,11.9250417383
195,12.1547846143
196,12.2596181518
197,11.9183972397
198,12.3238601256
199,11.7558794867
200,11.6082447356
201,13.0530154429
202,11.5607723272
203,12.6410997921
204,11.9049743095
205,12.6619171305
206,12.0895444472
207,12.2922549289
208,12.2783979583
209,12.1415394577
210,11.2772157896
211,11.5129354649
212,11.8981946685
213,10.9329998211
214,12.6627092073
215,11.7714438821
216,12.1415394577
217,11.4241051802
218,11.652696103
219,12.4065655979
220,12.3327097017
221,12.388398369
222,12.7293237523
223,11.8277435041
224,12.8139206189
225,11.7519502394
226,11.5617251529
227,12.7938620882
228,11.8342913154
229,11.7597933554
230,11.6868871754
231,12.1807599657
232,12.1678566275
233,11.8494048444
234,11.798111926
